XFJ    23.74  114.66
HEP    23.72  114.71
LTK    23.66  114.65
LVY    23.77  114.63
XIG    23.78  114.64
BLT    23.79  114.67
HYJ    23.72  114.59
GUL    23.64  114.71
DFH    23.76  114.75
QZI    23.66  114.59
DOX    23.73  114.55
YAM    23.84  114.67
DOY    23.80  114.53
ZHX    23.91  114.65
LIP    24.36  114.46
ZIJ    23.70  115.17
HUZ    23.24  114.42
DYXC   23.93  114.45
LCH    24.10  115.27
GZH    23.65  113.65
JIX    23.43  115.70
DOG    22.88  113.72
YND    24.13  113.36
SHW    22.79  115.37
HUD    23.52  113.23
FES    23.82  116.21
SHG    24.86  113.58
MEZ    24.32  116.14
QIX    24.25  112.82
LEC    25.06  113.35
LIZ    24.80  112.39
HUJ    24.04  112.30
SZN    22.55  114.14
PUN    23.29  116.14
ZHS    22.49  113.36
ZHH    22.27  113.57
DGD    22.06  114.30
XNH    22.57  113.03
ZHQ    23.18  112.54
CHZ    23.67  116.64
TIX    23.13  116.51
SHT    23.42  116.63
TIS    22.27  112.89
NAO    23.43  117.01
QUJ    24.62  113.53
SLG    23.09  113.35
NAP    23.26  117.28
SCD    21.71  112.80
NAX    25.16  114.16
LUF    22.88  115.92
RAP    23.94  116.77
DEQ    23.30  111.78
GAZ    22.05  111.01
